county,year,population
Wilson,2032,75832
Wilson,2035,76201
Wilson,2043,78123
Wilson,2049,80029
Wilson,2050,80365
Yadkin,2021,37164
Yadkin,2028,37007
Yadkin,2037,36993
Yadkin,2040,36993
Yadkin,2047,36992
Yadkin,2048,36992
Yancey,2011,17809
Yancey,2027,18375
Yancey,2043,18116
Yancey,2048,18039
State,2015,9968747
State,2025,11038826
State,2026,11154686
State,2038,12579058
Alamance,2011,152100
Alamance,2015,157162
Alamance,2020,171753
Alamance,2028,188874
Alamance,2039,209767
Alamance,2040,211669
Alexander,2011,36968
Alexander,2020,36464
Alexander,2022,36429
Alexander,2024,36625
Alexander,2027,36718
Alexander,2044,36746
Alleghany,2010,11120
Alleghany,2038,11315
Alleghany,2039,11329
Alleghany,2044,11385
Alleghany,2050,11453
Anson,2030,21185
Anson,2047,21092
Ashe,2017,26401
Ashe,2019,26645
Ashe,2046,26814
Ashe,2047,26820
Ashe,2048,26827
Avery,2011,17894
Avery,2017,17736
Avery,2021,17951
Avery,2025,17950
Avery,2028,17952
Avery,2037,17950
Avery,2038,17952
Avery,2048,17951
Avery,2050,17952
Beaufort,2012,47211
Beaufort,2015,46147
Beaufort,2017,45440
Beaufort,2024,44090
Bertie,2010,21197
Bertie,2020,17905
Bertie,2027,15928
Bertie,2046,12479
Bladen,2010,35038
Bladen,2028,28751
Bladen,2032,28702
Bladen,2037,28771
Brunswick,2014,115479
Brunswick,2017,124921
Brunswick,2022,150848
Brunswick,2023,157537
Brunswick,2039,222546
Brunswick,2043,236266
Brunswick,2045,243090
Buncombe,2013,249325
Buncombe,2014,252384
Buncombe,2020,269797
Buncombe,2037,317949
Buncombe,2047,347009
Burke,2015,87316
Burke,2018,88040
Burke,2032,87745
Burke,2035,87687
Burke,2037,87657
Burke,2040,87609
Burke,2042,87577
Cabarrus,2017,211381
Cabarrus,2026,255458
Cabarrus,2032,283590
Cabarrus,2044,340953
Cabarrus,2047,355097
Caldwell,2013,81615
Caldwell,2020,80620
Caldwell,2027,81227
Caldwell,2034,81257
Caldwell,2046,81259
Caldwell,2048,81259
Camden,2022,10915
Camden,2033,12541
Carteret,2021,68284
Carteret,2029,71841
Carteret,2034,73877
Caswell,2020,22736
Caswell,2029,21668
Caswell,2039,20717
Catawba,2012,155734
Chatham,2016,70574
Cherokee,2012,27266
Cherokee,2013,27217
Cherokee,2017,28296
Cherokee,2022,29177
Cherokee,2027,30234
Cherokee,2033,31501
Chowan,2017,13872
Chowan,2018,13802
Chowan,2022,13677
Chowan,2023,13722
Chowan,2034,13742
Chowan,2038,13749
Chowan,2042,13756
Chowan,2046,13764
Clay,2017,11130
Clay,2020,11115
Clay,2032,12626
Clay,2033,12746
Clay,2048,14533
Clay,2050,14771
Cleveland,2022,101874
Cleveland,2025,103964
Cleveland,2031,106113
Cleveland,2034,106637
Cleveland,2036,106876
Cleveland,2044,107340
Columbus,2012,56893
Columbus,2015,54489
Columbus,2024,49600
Columbus,2027,48906
Columbus,2030,48209
Columbus,2031,47976
Columbus,2032,47742
Columbus,2041,45645
Craven,2026,102367
Craven,2036,102603
Craven,2041,102627
Craven,2045,102635
Craven,2046,102637
Cumberland,2010,327275
Cumberland,2021,342082
Cumberland,2026,348081
Cumberland,2027,348587
Cumberland,2032,349718
Cumberland,2034,349867
Cumberland,2040,350017
Alamance,2019,169785
Cumberland,2045,350040
Alamance,2029,190773
Cumberland,2047,350044
Alamance,2031,194571
Currituck,2015,25122
Alamance,2032,196471
Currituck,2017,26061
Alamance,2036,204070
Currituck,2021,29602
Alamance,2038,207869
Currituck,2022,30904
Alamance,2041,213567
Currituck,2038,51760
Alexander,2018,36664
Currituck,2040,54369
Alexander,2026,36716
Currituck,2046,62189
Alexander,2031,36724
Currituck,2048,64796
Alexander,2034,36729
Dare,2015,35228
Alexander,2035,36730
Dare,2017,35939
Alexander,2039,36739
Dare,2025,39303
Alexander,2048,36752
Dare,2028,40672
Alleghany,2027,11188
Dare,2037,44775
Alleghany,2030,11222
Dare,2038,45232
Alleghany,2032,11247
Dare,2043,47510
Alleghany,2035,11282
Dare,2044,47967
Alleghany,2036,11293
Davidson,2015,163650
Alleghany,2043,11372
Davidson,2022,172093
Alleghany,2046,11406
Davidson,2034,189951
Anson,2010,26777
Davidson,2038,195796
Anson,2012,26003
Davidson,2039,197257
Anson,2015,24599
Davidson,2043,203104
Anson,2034,21134
Davidson,2048,210410
Anson,2043,21097
Davidson,2050,213330
Anson,2044,21096
Davie,2027,46093
Anson,2048,21091
Davie,2032,48429
Ashe,2014,26682
Davie,2041,52635
Ashe,2021,26701
Davie,2050,56841
Ashe,2023,26685
Duplin,2015,53663
Ashe,2024,26679
Duplin,2023,48754
Ashe,2025,26690
Duplin,2024,48762
Ashe,2037,26760
Duplin,2029,48784
Ashe,2041,26786
Duplin,2035,48805
Avery,2014,17752
Duplin,2038,48810
Avery,2015,17609
Duplin,2040,48811
Avery,2018,17788
Duplin,2046,48819
Avery,2022,17951
Durham,2018,315929
Avery,2023,17951
Durham,2019,322369
Avery,2024,17951
Durham,2041,420352
Avery,2030,17952
Edgecombe,2011,55809
Avery,2033,17951
Edgecombe,2018,49860
Avery,2040,17950
Edgecombe,2037,38985
Avery,2042,17951
Forsyth,2013,360646
Beaufort,2020,44669
Forsyth,2014,364207
Beaufort,2021,44561
Forsyth,2017,374689
Beaufort,2025,43936
Forsyth,2020,382944
Beaufort,2028,43474
Forsyth,2029,406035
Beaufort,2035,42397
Forsyth,2032,415931
Bertie,2011,20757
Forsyth,2033,419289
Bertie,2015,19537
Franklin,2014,61965
Bertie,2019,18064
Franklin,2028,87332
Bertie,2021,17214
Franklin,2034,101293
Bertie,2028,15748
Franklin,2038,110600
Bertie,2030,15386
Franklin,2044,124563
Bertie,2032,15021
Franklin,2049,136197
Bertie,2033,14841
Gaston,2011,207701
Bertie,2038,13933
Gaston,2017,220837
Bertie,2041,13389
Gaston,2021,232789
Bertie,2045,12663
Gaston,2025,245067
Bladen,2013,33387
Gaston,2031,255750
Bladen,2021,29402
Gaston,2045,282724
Bladen,2027,28786
Gaston,2049,290432
Bladen,2046,29047
Gates,2016,11104
Alamance,2014,155558
Bladen,2048,29121
Gates,2028,10075
Alamance,2022,177141
Brunswick,2019,133610
Gates,2040,10003
Alamance,2034,200269
Brunswick,2024,163278
Gates,2042,10002
Alamance,2044,219267
Brunswick,2028,182284
Graham,2029,8103
Alamance,2049,228765
Brunswick,2031,194127
Graham,2038,8118
Alexander,2017,36683
Brunswick,2036,212135
Graham,2045,8117
Alexander,2029,36720
Brunswick,2049,256717
Granville,2013,57491
Alexander,2037,36733
Buncombe,2010,238846
Granville,2016,58854
Alexander,2043,36743
Buncombe,2024,280171
Granville,2021,61150
Alleghany,2013,10876
Buncombe,2025,283079
Granville,2027,65690
Alleghany,2017,10915
Buncombe,2026,285984
Granville,2039,74424
Alleghany,2020,10909
Buncombe,2027,288887
Granville,2040,75153
Alleghany,2031,11236
Buncombe,2030,297608
Granville,2042,76609
Alleghany,2041,11351
Buncombe,2038,320854
Granville,2044,78064
Alleghany,2042,11360
Buncombe,2039,323761
Granville,2045,78793
Anson,2029,21202
Burke,2012,88820
Greene,2013,20763
Anson,2031,21167
Burke,2026,87748
Greene,2017,20836
Anson,2032,21155
Burke,2034,87703
Greene,2037,20120
Anson,2037,21113
Burke,2036,87674
Greene,2043,20119
Anson,2040,21103
Burke,2046,87512
Greene,2045,20120
Anson,2045,21095
Burke,2050,87447
Guilford,2010,489672
Ashe,2012,26909
Cabarrus,2010,178757
Guilford,2016,524983
Ashe,2020,26582
Cabarrus,2011,181534
Guilford,2018,535150
Ashe,2027,26701
Cabarrus,2019,221814
Guilford,2019,538536
Ashe,2035,26749
Cabarrus,2020,226641
Guilford,2021,542451
Ashe,2050,26840
Cabarrus,2033,288496
Guilford,2029,571828
Avery,2010,17788
Cabarrus,2046,350374
Guilford,2036,607198
Avery,2019,17784
Caldwell,2019,80864
Halifax,2015,51003
Avery,2027,17951
Caldwell,2021,80820
Halifax,2016,50668
Avery,2029,17952
Caldwell,2024,81141
Halifax,2017,50305
Avery,2046,17950
Caldwell,2044,81260
Halifax,2023,47359
Avery,2047,17951
Caldwell,2047,81260
Halifax,2029,44802
Beaufort,2034,42551
Camden,2011,9992
Halifax,2036,41815
Beaufort,2049,40241
Camden,2012,9879
Harnett,2020,133784
Bertie,2018,18370
Camden,2013,9941
Harnett,2022,139562
Bertie,2031,15205
Camden,2014,10027
Harnett,2025,148250
Bertie,2048,12119
Camden,2016,10004
Harnett,2033,165742
Bladen,2015,32189
Camden,2018,10124
Harnett,2038,177136
Bladen,2022,29195
Camden,2019,10257
Harnett,2043,188494
Bladen,2033,28708
Camden,2034,12620
Haywood,2018,61837
Brunswick,2029,186394
Camden,2040,12963
Haywood,2038,69198
Brunswick,2033,201489
Camden,2044,13103
Haywood,2040,69985
Brunswick,2035,208623
Carteret,2020,67739
Haywood,2048,73141
Brunswick,2041,229421
Carteret,2023,69296
Henderson,2017,114035
Brunswick,2042,232844
Carteret,2028,71431
Henderson,2023,118043
Buncombe,2016,260096
Carteret,2033,73473
Henderson,2028,123466
Buncombe,2031,300512
Carteret,2042,77130
Henderson,2030,125945
Buncombe,2034,309231
Carteret,2049,79974
Henderson,2037,134923
Buncombe,2040,326666
Caswell,2030,21572
Henderson,2041,140113
Burke,2016,87691
Caswell,2031,21475
Henderson,2044,144005
Burke,2027,87823
Caswell,2033,21288
Henderson,2048,149201
Cabarrus,2018,216576
Caswell,2034,21193
Henderson,2049,150499
Cabarrus,2028,264859
Catawba,2021,161736
Henderson,2050,151797
Cabarrus,2034,293382
Catawba,2039,180707
Hertford,2020,21516
Cabarrus,2036,302909
Chatham,2010,63836
Hertford,2026,18935
Cabarrus,2038,312231
Chatham,2013,66048
Hertford,2030,18366
Cabarrus,2039,316948
Chatham,2021,77420
Hertford,2032,18081
Cabarrus,2048,359855
Chatham,2024,81210
Hertford,2040,16939
Caldwell,2010,82940
Chatham,2026,84280
Hoke,2010,47446
Caldwell,2018,80665
Chatham,2032,91830
Hoke,2028,61800
Caldwell,2026,81210
Chatham,2033,93243
Hoke,2029,62806
Caldwell,2050,81259
Cherokee,2021,28964
Hoke,2030,63805
Camden,2023,11144
Cherokee,2024,29599
Hoke,2032,65783
Camden,2024,11351
Cherokee,2029,30655
Hoke,2034,67752
Camden,2026,11710
Cherokee,2040,32982
Hoke,2049,82443
Camden,2042,13040
Cherokee,2043,33618
Hyde,2010,5796
Camden,2045,13130
Cherokee,2046,34252
Hyde,2017,5001
Carteret,2018,67878
Chowan,2012,14598
Hyde,2020,4572
Carteret,2027,71020
Chowan,2039,13750
Hyde,2023,4495
Carteret,2035,74286
Chowan,2048,13766
Hyde,2034,3914
Carteret,2036,74693
Chowan,2050,13771
Hyde,2035,3864
Caswell,2012,23336
Clay,2024,11685
Hyde,2041,3570
Caswell,2019,22869
Clay,2028,12151
Hyde,2046,3335
Caswell,2032,21381
Clay,2030,12389
Hyde,2049,3199
Catawba,2016,156885
Clay,2043,13937
Hyde,2050,3156
Catawba,2019,159673
Cleveland,2043,107309
Iredell,2023,200590
Catawba,2045,187033
Columbus,2014,55325
Iredell,2029,227109
Chatham,2014,67280
Columbus,2018,52186
Iredell,2030,231528
Chatham,2044,107689
Columbus,2028,48672
Iredell,2031,235948
Chatham,2046,110269
Columbus,2039,46111
Iredell,2037,262466
Chatham,2049,114222
Columbus,2047,44248
Iredell,2042,284566
Cherokee,2014,27210
Craven,2011,104318
Jackson,2016,42489
Cherokee,2031,31079
Craven,2028,102456
Jackson,2038,48715
Cherokee,2037,32349
Craven,2029,102490
Jackson,2039,49073
Cherokee,2045,34039
Craven,2037,102611
Jackson,2040,49430
Chowan,2029,13733
Craven,2042,102631
Jackson,2044,50867
Chowan,2040,13754
Cumberland,2015,329843
Johnston,2013,177960
Chowan,2044,13760
Cumberland,2037,349974
Johnston,2017,197453
Clay,2018,11136
Currituck,2016,25513
Johnston,2018,204099
Clay,2025,11797
Dare,2014,34939
Johnston,2030,282334
Clay,2044,14056
Dare,2031,42040
Jones,2017,9541
Clay,2046,14295
Davidson,2017,165580
Jones,2024,9195
Clay,2047,14414
Davidson,2018,166813
Jones,2046,9191
Cleveland,2010,97885
Davidson,2040,198719
Lee,2012,59098
Cleveland,2018,97883
Davie,2011,41195
Lee,2017,60716
Cleveland,2028,105282
Davie,2015,41207
Lee,2021,64068
Columbus,2023,49851
Davie,2016,41631
Lee,2036,75362
Columbus,2033,47510
Davie,2018,42102
Lee,2041,79058
Columbus,2036,46811
Davie,2031,47963
Lee,2047,83494
Columbus,2037,46577
Duplin,2016,52597
Lenoir,2024,54018
Columbus,2045,44715
Duplin,2019,49505
Lenoir,2042,49031
Craven,2030,102518
Duplin,2022,48747
Lenoir,2049,47090
Craven,2032,102559
Duplin,2025,48767
Lincoln,2029,100046
Craven,2035,102595
Duplin,2039,48812
Lincoln,2031,102565
Craven,2043,102631
Durham,2011,276527
Lincoln,2042,116686
Craven,2050,102639
Durham,2015,299753
Macon,2023,37957
Cumberland,2017,329639
Durham,2016,306401
Macon,2026,38867
Cumberland,2022,343588
Durham,2044,434214
Macon,2041,43421
Cumberland,2024,346484
Durham,2048,452693
Macon,2043,44030
Cumberland,2025,347401
Edgecombe,2026,45379
Macon,2047,45243
Cumberland,2028,348965
Edgecombe,2033,41312
Macon,2049,45850
Cumberland,2036,349948
Edgecombe,2039,37823
Madison,2010,20766
Cumberland,2048,350045
Edgecombe,2042,36080
Madison,2012,20998
Currituck,2010,23652
Forsyth,2018,378098
Madison,2015,21129
Currituck,2020,28298
Forsyth,2041,446567
Madison,2019,21187
Currituck,2035,47851
Forsyth,2048,470617
Madison,2022,21522
Currituck,2036,49155
Franklin,2015,62638
Madison,2035,22507
Currituck,2043,58277
Franklin,2016,63536
Madison,2042,23035
Dare,2011,34152
Franklin,2024,78026
Madison,2043,23113
Dare,2012,34542
Franklin,2035,103622
Madison,2050,23640
Dare,2018,36220
Gaston,2027,247944
Martin,2014,23307
Dare,2019,36591
Gaston,2029,251696
Martin,2022,21476
Dare,2047,49334
Gaston,2030,253731
Martin,2044,17396
Davidson,2011,162904
Gaston,2032,257719
Martin,2047,16841
Davidson,2013,163066
Gaston,2034,261554
Martin,2048,16655
Davidson,2024,175339
Gaston,2037,267300
McDowell,2013,44686
Davidson,2028,181184
Gaston,2041,275018
McDowell,2014,44538
Davidson,2031,185568
Gaston,2042,276947
McDowell,2016,44348
Davidson,2035,191413
Gates,2034,10016
McDowell,2028,44774
Davidson,2042,201641
Gates,2049,9999
McDowell,2031,44775
Davidson,2044,204566
Graham,2010,8846
McDowell,2036,44774
Davie,2013,41154
Graham,2016,8357
McDowell,2043,44772
Davie,2014,41012
Graham,2019,8043
Mecklenburg,2024,1185088
Davie,2022,43754
Graham,2021,8044
Mecklenburg,2027,1243166
Davie,2025,45158
Graham,2035,8117
Mecklenburg,2041,1521084
Davie,2028,46558
Graham,2040,8117
Mitchell,2017,14993
Davie,2039,51701
Graham,2041,8118
Mitchell,2018,15005
Davie,2042,53102
Graham,2044,8119
Mitchell,2020,14895
Davie,2045,54505
Graham,2049,8118
Mitchell,2022,14895
Duplin,2014,54961
Graham,2050,8121
Mitchell,2027,14698
Duplin,2021,48754
Granville,2018,60476
Mitchell,2030,14580
Duplin,2026,48772
Granville,2024,63507
Mitchell,2039,14247
Duplin,2032,48796
Greene,2016,20876
Montgomery,2019,25688
Duplin,2034,48802
Greene,2026,20121
Montgomery,2027,25736
Duplin,2042,48815
Greene,2027,20121
Montgomery,2029,25736
Durham,2010,271486
Greene,2029,20120
Montgomery,2032,25736
Durham,2012,282585
Greene,2036,20121
Montgomery,2041,25737
Durham,2027,355675
Greene,2042,20120
Moore,2021,102517
Durham,2031,374154
Greene,2050,20120
Moore,2026,114205
Durham,2032,378775
Guilford,2012,501968
Moore,2037,139989
Durham,2040,415735
Guilford,2014,512560
Moore,2041,149295
Durham,2043,429592
Guilford,2026,558089
Nash,2011,95664
Durham,2046,443454
Guilford,2034,596881
Nash,2012,94972
Edgecombe,2020,48820
Guilford,2046,659379
Nash,2027,95381
Edgecombe,2028,44218
Halifax,2024,46934
Nash,2034,95349
Edgecombe,2043,35497
Halifax,2028,45229
Nash,2047,95339
Forsyth,2012,357998
Halifax,2033,43096
Nash,2048,95337
Forsyth,2015,366725
Halifax,2040,40110
New Hanover,2015,215383
Forsyth,2016,370709
Halifax,2043,38831
New Hanover,2018,225193
Forsyth,2023,388365
Harnett,2023,143081
New Hanover,2020,226077
Forsyth,2038,436286
Haywood,2012,58890
New Hanover,2041,292176
Forsyth,2039,439710
Haywood,2023,63282
New Hanover,2043,298172
Franklin,2026,82678
Haywood,2025,64073
New Hanover,2048,313155
Franklin,2029,89658
Haywood,2029,65649
Northampton,2012,20916
Franklin,2030,91985
Haywood,2032,66832
Northampton,2021,17116
Franklin,2043,122237
Haywood,2044,71563
Northampton,2041,13983
Franklin,2050,138523
Henderson,2013,108249
Northampton,2050,12552
Gaston,2013,210384
Henderson,2016,112760
Onslow,2013,193264
Alamance,2016,160552
Gaston,2018,223748
Henderson,2018,115120
Onslow,2017,196022
Alamance,2027,186974
Gaston,2033,259646
Henderson,2024,118965
Onslow,2027,221723
Alexander,2046,36749
Gaston,2038,269232
Henderson,2031,127210
Onslow,2031,231371
Alexander,2047,36751
Gaston,2047,286578
Henderson,2038,136219
Onslow,2035,241019
Alexander,2050,36755
Gaston,2050,292357
Henderson,2046,146601
Onslow,2043,260314
Alleghany,2016,10916
Gates,2011,11895
Hertford,2010,24716
Onslow,2048,272374
Alleghany,2018,10924
Gates,2024,10195
Hertford,2019,22045
Onslow,2049,274785
Alleghany,2022,11132
Gates,2025,10153
Hertford,2025,19079
Orange,2019,147802
Alleghany,2024,11155
Gates,2026,10121
Hertford,2033,17937
Orange,2030,161272
Alleghany,2025,11165
Graham,2012,8698
Hertford,2041,16797
Orange,2033,165574
Alleghany,2029,11214
Graham,2018,8099
Hertford,2048,15799
Orange,2035,168428
Alleghany,2034,11269
Graham,2032,8111
Hoke,2014,49961
Orange,2042,178321
Anson,2014,25138
Graham,2048,8119
Hyde,2011,5734
Pamlico,2017,12514
Anson,2016,23957
Granville,2010,57674
Hyde,2016,5201
Pamlico,2030,12016
Anson,2023,21433
Granville,2011,57720
Hyde,2018,4722
Pamlico,2034,11875
Anson,2033,21143
Granville,2026,64960
Hyde,2044,3427
Pamlico,2035,11838
Anson,2036,21119
Granville,2028,66415
Hyde,2048,3244
Pamlico,2040,11662
Anson,2039,21107
Granville,2032,69328
Iredell,2014,168060
Pamlico,2043,11559
Anson,2042,21098
Granville,2033,70058
Iredell,2022,196170
Pamlico,2047,11416
Ashe,2011,26979
Granville,2050,82432
Iredell,2035,253627
Pasquotank,2021,40629
Ashe,2015,26350
Greene,2015,20685
Iredell,2043,288986
Pasquotank,2029,41291
Ashe,2018,26591
Greene,2021,20124
Iredell,2044,293408
Pasquotank,2034,41407
Ashe,2028,26706
Greene,2024,20119
Jackson,2011,40319
Pasquotank,2036,41432
Ashe,2029,26713
Greene,2025,20120
Jackson,2015,41186
Pasquotank,2050,41479
Ashe,2039,26775
Guilford,2024,550216
Jackson,2018,43022
Pender,2015,55984
Ashe,2042,26791
Guilford,2037,612383
Jackson,2023,43331
Pender,2019,59641
Ashe,2043,26796
Guilford,2040,628007
Jackson,2025,44050
Pender,2023,67729
Ashe,2045,26810
Guilford,2044,648913
Jackson,2049,52662
Pender,2040,85113
Avery,2013,17763
Guilford,2045,654146
Johnston,2019,211110
Perquimans,2018,13000
Avery,2016,17662
Guilford,2050,680324
Johnston,2024,250281
Perquimans,2019,13079
Avery,2026,17952
Halifax,2020,48581
Johnston,2029,277374
Perquimans,2025,13815
Avery,2036,17951
Halifax,2021,48214
Johnston,2043,346223
Perquimans,2026,13890
Avery,2045,17951
Halifax,2025,46508
Johnston,2045,356043
Perquimans,2028,13996
Beaufort,2026,43781
Halifax,2034,42669
Johnston,2048,370775
Perquimans,2030,14064
Beaufort,2027,43627
Halifax,2041,39684
Johnston,2050,380597
Perquimans,2044,14169
Beaufort,2033,42706
Halifax,2044,38402
Jones,2012,10240
Perquimans,2046,14171
Beaufort,2039,41781
Halifax,2046,37553
Jones,2013,10102
Perquimans,2050,14174
Beaufort,2044,41011
Halifax,2047,37123
Jones,2021,9202
Person,2011,39315
Bertie,2014,19750
Halifax,2048,36697
Jones,2022,9199
Person,2017,38846
Bertie,2017,18593
Harnett,2016,127836
Jones,2027,9195
Person,2022,39586
Bertie,2022,16933
Harnett,2050,204408
Jones,2031,9192
Person,2046,40588
Bertie,2023,16655
Haywood,2010,58895
Jones,2044,9192
Pitt,2013,170284
Bertie,2025,16293
Haywood,2011,59034
Jones,2050,9192
Pitt,2014,169407
Bertie,2042,13208
Haywood,2016,60742
Lee,2014,59487
Pitt,2015,169452
Bertie,2047,12298
Haywood,2021,62495
Lee,2015,59395
Pitt,2020,172254
Bertie,2050,11754
Haywood,2035,68014
Lee,2022,64907
Pitt,2022,172231
Bladen,2016,31470
Haywood,2050,73927
Lee,2028,69447
Pitt,2023,172005
Bladen,2017,30869
Henderson,2020,116519
Lee,2044,81275
Pitt,2032,181539
Bladen,2018,30418
Henderson,2025,119994
Lee,2045,82014
Pitt,2033,183315
Bladen,2023,29077
Henderson,2032,128481
Lee,2049,84974
Pitt,2041,199456
Bladen,2036,28749
Hertford,2024,19223
Lenoir,2010,59436
Polk,2014,19843
Bladen,2043,28944
Hertford,2036,17511
Lenoir,2013,58217
Polk,2017,19620
Bladen,2047,29085
Hertford,2043,16511
Lenoir,2022,54572
Polk,2026,19613
Brunswick,2011,109324
Hoke,2017,51769
Lenoir,2026,53466
Polk,2031,19639
Brunswick,2021,143550
Hyde,2015,5262
Lenoir,2027,53187
Polk,2036,19654
Brunswick,2027,178038
Hyde,2028,4225
Lenoir,2028,52911
Polk,2045,19663
Brunswick,2037,215626
Hyde,2030,4120
Lenoir,2030,52357
Polk,2046,19663
Buncombe,2015,256096
Hyde,2040,3617
Lenoir,2039,49862
Polk,2049,19665
Buncombe,2019,267372
Hyde,2042,3519
Lincoln,2021,89556
Randolph,2017,142789
Buncombe,2029,294700
Iredell,2012,163428
Lincoln,2025,95751
Randolph,2019,143550
Buncombe,2044,338289
Iredell,2020,187329
Lincoln,2026,96698
Randolph,2031,151868
Burke,2010,90464
Iredell,2048,311084
Lincoln,2033,105235
Randolph,2037,155914
Burke,2017,88216
Iredell,2049,315505
Lincoln,2034,106545
Randolph,2042,159288
Burke,2020,87619
Iredell,2050,319925
Lincoln,2035,107866
